str_of_words,is_person,id
Skelleftea,0,1347
Vastervik,0,1350
San Cristobal de La Laguna,0,1353
Palpala,0,1356
Colonia del Sacramento,0,1359
Emmerich am Rhein,0,1362
Johanngeorgenstadt,0,1365
Zwonitz,0,1368
General Pico,0,1371
Satna,0,1374
Suva Reka,0,1377
Columbia,0,1380
Shebekino,0,1383
Korocha,0,1386
Rauenberg,0,1389
Campeche,0,1392
Brandon,0,1395
Ditzingen,0,1398
Lauda-Konigshofen,0,1401
Vaihingen an der Enz,0,1404
Karakorum,0,1407
Abadan,0,1410
Uster,0,1413
Gogow,0,1416
Kanpur,0,1419
Phil Campbell,0,1422
Solothurn,0,1425
Portsmouth,0,1428
Kurchatov,0,1431
Oboyan,0,1434
Pogradec,0,1437
Menlo Park,0,1440
Salamiyah,0,1443
Rumia,0,1446
Atkins,0,1449
Piedmont,0,1452
Fultondale,0,1455
Fifty-Six,0,1458
Altus,0,1461
Horatio,0,1464
Shannon Hills,0,1467
Moulton,0,1470
Midfield,0,1473
Napaskiak,0,1476
Cordova,0,1479
Phenix City,0,1482
Highland,0,1485
Saraland,0,1488
Brundidge,0,1491
Creola,0,1494
Wilmar,0,1497
Watson,0,1500
Lamar,0,1503
Washington,0,1506
Ola,0,1509
Foreman,0,1512
Turrell,0,1515
Delight,0,1518
Pinson,0,1521
McGehee,0,1524
Harrell,0,1527
Hartman,0,1530
Cammack Village,0,1533
Dermott,0,1536
Decatur,0,1539
Mountainburg,0,1542
Cave City,0,1545
Kobuk,0,1548
Charleston,0,1551
Pilot Point,0,1554
Flippin,0,1557
Kaltag,0,1560
London,0,1563
Lake Village,0,1566
Akutan,0,1569
Mount Ida,0,1572
Thorne Bay,0,1575
St. George,0,1578
De Witt,0,1581
Strong,0,1584
Grady,0,1587
Mountain Home,0,1590
Waldron,0,1593
Paragould,0,1596
Oppelo,0,1599
Soldotna,0,1602
Ashville,0,1605
Valley Grande,0,1608
Lowell,0,1611
Arab,0,1614
Tenakee Springs,0,1617
Jacksonville,0,1620
Bald Knob,0,1623
Monticello,0,1626
Kenai,0,1629
Jackson,0,1632
Port Lions,0,1635
Bullhead City,0,1638
Lake Havasu City,0,1641
Texarkana,0,1644
Homer,0,1647
White Hall,0,1650
Avondale,0,1653
Irondale,0,1656
Oxford,0,1659
Hamilton,0,1662
Yellville,0,1665
Arkadelphia,0,1668
Taylor,0,1671
Anniston,0,1674
Sylacauga,0,1677
Citronelle,0,1680
Augusta,0,1683
Thornton,0,1686
El Dorado,0,1689
LaFayette,0,1692
Gould,0,1695
Mountain View,0,1698
Prairie Grove,0,1701
Bull Shoals,0,1704
Carlisle,0,1707
Perrytown,0,1710
False Pass,0,1713
Mammoth Spring,0,1716
Emmet,0,1719
Cold Bay,0,1722
Dardanelle,0,1725
Chignik,0,1728
Black Rock,0,1731
Aniak,0,1734
Goodnews Bay,0,1737
Maumelle,0,1740
Grayling,0,1743
Weaver,0,1746
Mountain Village,0,1749
Kotlik,0,1752
Nightmute,0,1755
Carbon Hill,0,1758
Anvik,0,1761
Tuscaloosa,0,1764
Pell City,0,1767
Lincoln,0,1770
Holland,0,1773
East Brewton,0,1776
Johnson,0,1779
Orange Beach,0,1782
Prichard,0,1785
Mansfield,0,1788
Tontitown,0,1791
Huntington,0,1794
Marmaduke,0,1797
Elaine,0,1800
Gentry,0,1803
Waldo,0,1806
Fairbanks,0,1809
Fairfield Bay,0,1812
Salem,0,1815
Cooper Landing,0,1818
Harrisburg,0,1821
Madison,0,1824
Clarkedale,0,1827
Gurdon,0,1830
Mitchellville,0,1833
Humphrey,0,1836
Heflin,0,1839
Ratcliff,0,1842
Gambell,0,1845
Hydaburg,0,1848
Atmore,0,1851
Batesville,0,1854
Junction City,0,1857
Vestavia Hills,0,1860
Quitman,0,1863
Napakiak,0,1866
Marion,0,1869
Rainbow City,0,1872
Opp,0,1875
Kaktovik,0,1878
Fairfield,0,1881
Winslow,0,1884
Kiana,0,1887
Galena,0,1890
Anaktuvuk Pass,0,1893
Brent,0,1896
Nogales,0,1899
Ruby,0,1902
Unalakleet,0,1905
St. Johns,0,1908
Eureka Springs,0,1911
Flagstaff,0,1914
Palmer,0,1917
Boaz,0,1920
Huntsville,0,1923
Williams,0,1926
Tombstone,0,1929
Douglas,0,1932
Casa Grande,0,1935
South Tucson,0,1938
North Little Rock,0,1941
Holbrook,0,1944
Seward,0,1947
Clarksville,0,1950
Prescott,0,1953
Page,0,1956
Bettles,0,1959
Wasilla,0,1962
Talladega,0,1965
Kodiak,0,1968
Christchurch,0,1971
Childersburg,0,1974
Pine Bluff,0,1977
Graysville,0,1980
Springville,0,1983
Smiths Station,0,1986
Red Bay,0,1989
Wales,0,1992
Ozark,0,1995
Tabriz,0,1998
Nenana,0,2001
Chickasaw,0,2004
Akiak,0,2007
Chefornak,0,2010
Ashdown,0,2013
Kupreanof,0,2016
Sheridan,0,2019
Scammon Bay,0,2022
Pea Ridge,0,2025
St. Paul,0,2028
Gustavus,0,2031
Coffman Cove,0,2034
Anderson,0,2037
Scranton,0,2040
Lexa,0,2043
Belleville,0,2046
Mayflower,0,2049
Portland,0,2052
Wiederkehr Village,0,2055
Tillar,0,2058
Branch,0,2061
Blevins,0,2064
Horseshoe Bend,0,2067
Amity,0,2070
Patna,0,2073
Meymeh,0,2076
Vanak,0,2079
Vazvan,0,2082
Goldasht,0,2085
Zibashahr,0,2088
Fes,0,2091
Chamgardan,0,2094
Rezvanshahr,0,2097
Dizicheh,0,2100
Charleroi,0,2103
Acapulco,0,2106
Arianshahr,0,2109
Szeged,0,2112
Hillsboro,0,2115
Villarrobledo,0,2118
Trochtelfingen,0,2121
Hayingen,0,2124
Olsztyn,0,2127
Schramberg,0,2130
Rottweil,0,2133
Almere,0,2136
Durres,0,2139
Diyarbakr,0,2142
Ilansky,0,2145
Nimbeluk,0,2148
Ayask,0,2151
Esfeden,0,2154
Hsinking,0,2157
Chrzanow,0,2160
Novokuznetsk,0,2163
Baracoa,0,2166
Naberezhnye Chelny,0,2169
Volzhsky,0,2172
Newport,0,2175
Myszyniec,0,2178
Narva,0,2181
Kielce,0,2184
Bytom,0,2187
Miskolc,0,2190
Abaza,0,2193
Belokurikha,0,2196
Agidel,0,2199
Azov,0,2202
Aksay,0,2205
Czestochowa,0,2208
Alexandrov,0,2211
Alexeyevka,0,2214
Almetyevsk,0,2217
Andreapol,0,2220
Apatity,0,2223
Argun,0,2226
"Ardatov (town), Republic of Mordovia",0,2229
Arsenyev,0,2232
Artyom,0,2235
Asbest,0,2238
Akhtubinsk,0,2241
"Babayevo (town), Vologda Oblast",0,2244
Bavly,0,2247
Baymak,0,2250
Bakal,0,2253
Balashikha,0,2256
Balashov,0,2259
Barysh,0,2262
Belaya Kalitva,0,2265
Belyov,0,2268
Belovo,0,2271
Gorzow Wielkopolski,0,2274
Belozersk,0,2277
Belousovo,0,2280
Berdsk,0,2283
Beryozovsky,0,2286
Supsk,0,2289
Gliwice,0,2292
Biryusinsk,0,2295
Blagodarny,0,2298
Bogoroditsk,0,2301
Boguchar,0,2304
Bologoye,0,2307
Bolkhov,0,2310
Bor,0,2313
Georgiyevsk,0,2316
Kamensk-Uralsky,0,2319
Mirny,0,2322
Uryupinsk,0,2325
Tartagal,0,2328
Legnica,0,2331
Bam,0,2334
Jastrzebie-Zdroj,0,2337
Dabrowa Gornicza,0,2340
Kilkenny,0,2343
Matola,0,2346
Mwanza,0,2349
Belview,0,2352
Chatham-Kent,0,2355
Dizaj Diz,0,2358
Guanajay,0,2361
Sumbawanga,0,2364
Manzanillo,0,2367
Luban,0,2370
Mariel,0,2373
Pacific Grove,0,2376
Meridian,0,2379
Khadyzhensk,0,2382
Salem,0,2385
Eau Claire,0,2388
Nanyuki,0,2391
Grudziadz,0,2394
Natanz,0,2397
Vaasa,0,2400
Puebla City,0,2403
Vinto,0,2406
Acre,0,2409
El Bayyada,0,2412
St. Catharines,0,2415
Vantaa,0,2418
Niagara Falls,0,2421
Waco,0,2424
Beaumont,0,2427
Midland,0,2430
Odessa,0,2433
Nagano,0,2436
Galway,0,2439
Girke Lege,0,2442
Roosevelt,0,2445
Honeyville,0,2448
Parowan,0,2451
Helper,0,2454
Castle Dale,0,2457
Nephi,0,2460
Roy,0,2463
Yenice,0,2466
Tay Ninh,0,2469
Banja Luka,0,2472
Ganja,0,2475
Nishapur,0,2478
Shkoder,0,2481
Saint-Marc,0,2484
Borisoglebsk,0,2487
Borodino,0,2490
Erbil,0,2493
Douala,0,2496
Buy,0,2499
Valday,0,2502
Velsk,0,2505
Vereya,0,2508
Verkhny Tagil,0,2511
Verkhnyaya Salda,0,2514
Verkhoyansk,0,2517
Dunedin,0,2520
Vilyuchinsk,0,2523
Hamilton,0,2526
Volgodonsk,0,2529
Vuktyl,0,2532
Volsk,0,2535
Karabanovo,0,2538
Shipka,0,2541
Vyksa,0,2544
Vyazemsky,0,2547
Mersin,0,2550
Gavrilov Posad,0,2553
Gadzhiyevo,0,2556
Glazov,0,2559
Gornozavodsk,0,2562
Gorodets,0,2565
Suez,0,2568
Goryachy Klyuch,0,2571
Gremyachinsk,0,2574
Gubakha,0,2577
Gubkinsky,0,2580
Kahramanmaras,0,2583
Guryevsk,0,2586
Davlekanovo,0,2589
Eilat,0,2592
Dedovsk,0,2595
Desnogorsk,0,2598
Digora,0,2601
Dno,0,2604
Dolinsk,0,2607
Nesher,0,2610
Dubna,0,2613
Dukhovshchina,0,2616
Yegoryevsk,0,2619
Yelabuga,0,2622
Yemva,0,2625
Galveston,0,2628
Yefremov,0,2631
Zheleznogorsk-Ilimsky,0,2634
San Pedro de Ycuamandiyu,0,2637
Erzincan,0,2640
Zhizdra,0,2643
Zhukovka,0,2646
Zavodoukovsk,0,2649
Zavolzhye,0,2652
Zakamensk,0,2655
Zapolyarny,0,2658
Zarechny,0,2661
Zvenigorod,0,2664
Derby,0,2667
Elizabeth,0,2670
"Paterson, New Jersey",0,2673
Livermore,0,2676
Alftanes,0,2679
Zelenodolsk,0,2682
Zernograd,0,2685
Zima,0,2688
Zlynka,0,2691
Tsageri,0,2694
Hoseyniyeh,0,2697
Znamensk,0,2700
Zuyevka,0,2703
Igarka,0,2706
Izobilny,0,2709
Kozuchow,0,2712
Ipatovo,0,2715
La Habra Heights,0,2718
Ishim,0,2721
"Kalach, Voronezh Oblast",0,2724
Kaltan,0,2727
Kambarka,0,2730
Kamen-na-Obi,0,2733
Kamyshin,0,2736
Kanash,0,2739
Zaio,0,2742
Karabash,0,2745
Banska Bystrica,0,2748
Karachayevsk,0,2751
Kargat,0,2754
Kartaly,0,2757
Kaspiysk,0,2760
Kachkanar,0,2763
Kedrovy,0,2766
Zambrow,0,2769
Kizilyurt,0,2772
Opochka,0,2775
Shchigry,0,2778
Luza,0,2781
Chomutov,0,2784
Kimovsk,0,2787
Krzeszowice,0,2790
Aomori,0,2793
Manisa,0,2796
Zapopan,0,2799
Zarafshan,0,2802
Khasavyurt,0,2805
Jelenia Gora,0,2808
Miedzyzdroje,0,2811
Krosno Odrzanskie,0,2814
Poreba,0,2817
Lubsko,0,2820
Zarki,0,2823
Beit She'an,0,2826
Ma'alot-Tarshiha,0,2829
Kiryat Gat,0,2832
Kfar Saba,0,2835
Bnei Brak,0,2838
Kiryat Ono,0,2841
Baqa-Jatt,0,2844
Naftalan,0,2847
Lakinsk,0,2850
Kineshma,0,2853
Kirzhach,0,2856
Basse Santa Su,0,2859
Kirovo-Chepetsk,0,2862
Kirsanov,0,2865
Klimovsk,0,2868
Knyaginino,0,2871
Vineland,0,2874
Kodinsk,0,2877
Kozmodemyansk,0,2880
Kolpashevo,0,2883
Komsomolsk-on-Amur,0,2886
Aabenraa,0,2889
Kondopoga,0,2892
Kopeysk,0,2895
Tlaquepaque,0,2898
Koryazhma,0,2901
Kotelniki,0,2904
Kotlas,0,2907
Kokhma,0,2910
Krasnoarmeysk,0,2913
Krasnogorsk,0,2916
Krasnoznamensk,0,2919
Krasnoslobodsk,0,2922
Krasnouralsk,0,2925
Novoshakhtinsk,0,2928
Krasny Kholm,0,2931
Kubinka,0,2934
Kuvshinovo,0,2937
Kuybyshev,0,2940
Kungur,0,2943
Kladno,0,2946
Kurovskoye,0,2949
Kusa,0,2952
Kyakhta,0,2955
Lagan,0,2958
Zhytomyr,0,2961
Poltava,0,2964
Kostrzyn nad Odra,0,2967
Tetovo,0,2970
Veles,0,2973
Makiivka,0,2976
Horlivka,0,2979
Lebedyan,0,2982
Lesozavodsk,0,2985
Lermontov,0,2988
Lesosibirsk,0,2991
Lipki,0,2994
Lobnya,0,2997
Lyskovo,0,3000
Lgov,0,3003
Lyantor,0,3006
Makaryev,0,3009
Malgobek,0,3012
Bechatow,0,3015
Maloyaroslavets,0,3018
Kicevo,0,3021
Manturovo,0,3024
Kropyvnytskyi,0,3027
Mglin,0,3030
Medvezhyegorsk,0,3033
Zagan,0,3036
Feodosiya,0,3039
Mezhgorye,0,3042
Melenki,0,3045
Mendeleyevsk,0,3048
Meshchovsk,0,3051
Shusha,0,3054
Minusinsk,0,3057
Mikhaylovka,0,3060
Michurinsk,0,3063
Mozhga,0,3066
Morshansk,0,3069
Moskovsky,0,3072
Vlore,0,3075
Batman,0,3078
Samsun,0,3081
Salisbury,0,3084
Mysowice,0,3087
Zukowo,0,3090
Iowa,0,3093
Biaogard,0,3096
Saky,0,3099
Mechelen,0,3102
Sirte,0,3105
Oskemen,0,3108
Murom,0,3111
Port Antonio,0,3114
Angkor,0,3117
Thrissur,0,3120
Nazarovo,0,3123
Narimanov,0,3126
Nowe,0,3129
Szprotawa,0,3132
Hedeby,0,3135
Tikrit,0,3138
Adel,0,3141
Nevelsk,0,3144
Modi'in-Maccabim-Re'ut,0,3147
Bobonong,0,3150
West Lafayette,0,3153
Kruszwica,0,3156
Kalamazoo,0,3159
Letlhakane,0,3162
Tira,0,3165
Netivot,0,3168
Thiruvananthapuram,0,3171
Nahariya,0,3174
Cakovec,0,3177
Orlov,0,3180
Tamra,0,3183
Rosh HaAyin,0,3186
Umm al-Fahm,0,3189
Rugby,0,3192
Kande,0,3195
Asotin,0,3198
Zbaszyn,0,3201
Nara,0,3204
Ariel,0,3207
Zebulon,0,3210
Samarra,0,3213
Muhlberg/Elbe,0,3216
Stara Zagora,0,3219
Aydn,0,3222
Amasya,0,3225
Hukuntsi,0,3228
Gumare,0,3231
Tutume,0,3234
Kasane,0,3237
Molepolole,0,3240
Maun,0,3243
"Good Hope, Botswana",0,3246
Zlin,0,3249
Kotor,0,3252
Kecskemet,0,3255
Maracaibo,0,3258
Bhubaneswar,0,3261
Winchester,0,3264
Nelidovo,0,3267
Nerekhta,0,3270
Neftegorsk,0,3273
Neftekumsk,0,3276
Nizhnevartovsk,0,3279
Nizhniye Sergi,0,3282
Nizhnyaya Salda,0,3285
Nikolayevsk-on-Amur,0,3288
Blagoevgrad,0,3291
Veliko Tarnovo,0,3294
Ghazni,0,3297
Novoaltaysk,0,3300
Faisalabad,0,3303
Novodvinsk,0,3306
Ryazhsk,0,3309
Saint Peter Port,0,3312
Tartus,0,3315
Novomoskovsk,0,3318
Bowling Green,0,3321
Novosokolniki,0,3324
Novoulyanovsk,0,3327
Novocheboksarsk,0,3330
Novy Urengoy,0,3333
Norilsk,0,3336
Nytva,0,3339
Ayoun el Atrous,0,3342
Obninsk,0,3345
Odintsovo,0,3348
Ozyorsk,0,3351
Nowe Miasto Lubawskie,0,3354
"Okulovka (town), Novgorod Oblast",0,3357
Omutninsk,0,3360
Neskaupstaur,0,3363
Ostashkov,0,3366
Carapicuiba,0,3369
Beulah,0,3372
Ostrovnoy,0,3375
Okha,0,3378
Pavlovo,0,3381
Pavlovsky Posad,0,3384
Partizansk,0,3387
Pervomaysk,0,3390
Peresvet,0,3393
Petrov Val,0,3396
Larissa,0,3399
Mexico,0,3402
Herculaneum,0,3405
Petrovsk-Zabaykalsky,0,3408
Fatehpur Sikri,0,3411
"Petukhovo (town), Kurgan Oblast",0,3414
Pechory,0,3417
Plavsk,0,3420
Povorino,0,3423
Urmia,0,3426
Jelgava,0,3429
Lincoln,0,3432
Ife,0,3435
Gabrovo,0,3438
Rancho Palos Verdes,0,3441
Foca,0,3444
Sousse,0,3447
Wavre,0,3450
Grodno,0,3453
Pokrovsk,0,3456
Qazvin,0,3459
Lappeenranta,0,3462
Naha,0,3465
Kumasi,0,3468
Yazd,0,3471
Ta'if,0,3474
Polessk,0,3477
Stirling,0,3480
Surgut,0,3483
Porkhov,0,3486
Poshekhonye,0,3489
Primorsk,0,3492
Safi,0,3495
Preston,0,3498
Nouadhibou,0,3501
Prokhladny,0,3504
Pustoshka,0,3507
Vina del Mar,0,3510
Pyt-Yakh,0,3513
Zeghanghane,0,3516
Ordu,0,3519
Raychikhinsk,0,3522
Targovishte,0,3525
Tetouan,0,3528
Springfield,0,3531
Quetta,0,3534
Knoxville,0,3537
Maros,0,3540
Garabr,0,3543
Haskovo,0,3546
Szklarska Poreba,0,3549
Chattanooga,0,3552
Hurghada,0,3555
Zell am Harmersbach,0,3558
Mardin,0,3561
Safed,0,3564
Sorocaba,0,3567
Leon,0,3570
Hermosillo,0,3573
Serov,0,3576
Karnak,0,3579
Bizerte,0,3582
Karabuk,0,3585
Ulcinj,0,3588
Luang Prabang,0,3591
Severodvinsk,0,3594
Alexandroupoli,0,3597
Trakai,0,3600
Fallujah,0,3603
Santo Andre,0,3606
Karvina,0,3609
Hachinohe,0,3612
Sao Jose do Rio Preto,0,3615
Ciudad del Este,0,3618
Ramat Gan,0,3621
Carlisle,0,3624
Sabratha,0,3627
Lamia,0,3630
Sandomierz,0,3633
Rasskazovo,0,3636
Iquitos,0,3639
Roslavl,0,3642
Roshal,0,3645
Rubtsovsk,0,3648
Ruzayevka,0,3651
Rybnoye,0,3654
Artvin,0,3657
Salsk,0,3660
Sarov,0,3663
Safonovo,0,3666
Svetlogorsk,0,3669
Svobodny,0,3672
Severobaykalsk,0,3675
Taurage,0,3678
Severomorsk,0,3681
Sevsk,0,3684
Semyonov,0,3687
Serafimovich,0,3690
Serpukhov,0,3693
Uberlandia,0,3696
Sibay,0,3699
Skovorodino,0,3702
Slavsk,0,3705
Jaramana,0,3708
obez,0,3711
Sobinka,0,3714
Sovetskaya Gavan,0,3717
Soligalich,0,3720
Sol-Iletsk,0,3723
Sorochinsk,0,3726
Sosensky,0,3729
Sosnogorsk,0,3732
Spassk,0,3735
Srednekolymsk,0,3738
Staraya Kupavna,0,3741
Starodub,0,3744
Strunino,0,3747
Sudogda,0,3750
Surovikino,0,3753
Sukhinichi,0,3756
Sychyovka,0,3759
